President,Justice Full Name,To Replace,Nominated,Vote,Result,Vote Year,V,Yea Votes,No Votes
"Trump, Donald","Gorsuch, Neil M.",Scalia,1-Feb-17,54-45 No. 111,C,2017,54-45,54,45
"Bush, George W.","Alito, Samuel A., Jr.",O'Connor,10-Nov-05,58-42 No. 2,C,2006,58-42,58,42
"Harding, Warren","Taft, William 9",White,30-Jun-21,60-4,C,1921,60-4,60,4
"Harding, Warren","Butler, Pierce",Day,5-Dec-22,61-8,C,1922,61-8,61,8
"Roosevelt, Franklin","Douglas, William",Brandeis,20-Mar-39,62-4,C,1939,62-4,62,4
"Grant, Ulysses","Waite, Morrison12",Chase,"Jan 19, 1874",63-0,C,1874,63-0,63,0
"Roosevelt, Franklin","Black, Hugo",Van Devanter,12-Aug-37,63-16,C,1937,63-16,63,16
"Obama, Barack","Kagan, Elena",Stevens,"May 10, 2010",63-37 No. 229,C,2010,63-37,63,37
"Reagan, Ronald","Rehnquist, William H. 2",Burger,"Jun 20, 1986",65-33 No. 266,C,1986,65-33,65,33
"Nixon, Richard","Rehnquist, William H.",Harlan,"October 22, 1971",68-26 No. 450,C,1971,68-26,68,26
"Obama, Barack","Sotomayor, Sonia",Souter,"Jun 1, 2009",68-31 No. 262,C,2009,68-31,68,31
"Johnson, Lyndon","Marshall, Thurgood",Clark,13-Jun-67,69-11 No. 240,C,1967,69-11,69,11
"Eisenhower, Dwight","Stewart, Potter",Burton,17-Jan-59,70-17,C,1959,70-17,70,17
"Eisenhower, Dwight","Harlan, John",Jackson,10-Jan-55,71-11,C,1955,71-11,71,11
"Coolidge, Calvin","Stone, Harlan",McKenna,5-Jan-25,71-6,C,1925,71-6,71,6
"Truman, Harry","Clark, Tom",Murphy,2-Aug-49,73-8,C,1949,73-8,73,8
"Nixon, Richard","Burger, Warren",Warren,23-May-69,74-3 No. 35,C,1969,74-3,74,3
"Bush, George W.","Roberts, John G., Jr.1",Rehnquist,"September 6, 2005",78-22 No. 245,C,2005,78-22,78,22
"Clinton, Bill","Breyer, Stephen G.",Blackmun,17-May-94,87-9 No. 242,C,1994,87-9,87,9
"Nixon, Richard","Powell, Lewis F., Jr.",Black,22-Oct-71,89-1 No. 439,C,1971,89-1,89,1
"Bush, George H.W.","Souter, David H.",Brennan,"Jul 25, 1990",90-9 No. 259,C,1990,90-9,90,9
"Nixon, Richard","Blackmun, Harry",Fortas,15-Apr-70,94-0 No. 143,C,1970,94-0,94,0
"Clinton, Bill","Ginsburg, Ruth Bader",White,"Jun 22, 1993",96-3 No. 232,C,1993,96-3,96,3
"Reagan, Ronald","Kennedy, Anthony M.",Powell,"Nov 30, 1987",97-0 No. 16,C,1988,97-0,97,0
"Reagan, Ronald","Scalia, Antonin",Rehnquist,"Jun 24, 1986",98-0 No. 267,C,1986,98-0,98,0
"Ford, Gerald","Stevens, John Paul",Douglas,"Nov 28, 1975",98-0 No. 603,C,1975,98-0,98,0
"Reagan, Ronald","O'Connor, Sandra Day",Stewart,19-Aug-81,99-0 No. 274,C,1981,99-0,99,0
