Full Name,Position ,Years of Service as a justice,Recess Appointment?,Year of Birth,Age When Appointed,Birth location,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's state judicial service,Nominee's federal judicial service (other than the U.S. Supreme Court),Nominee's Occupation at Time of Appointment, Home State of Nominee,Appointing President,Political Party Affiliation of President,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Blackmun, Harry Andrew",Associate Justice,1970-1994,,1908,61,Illinois,Methodist,White,Male,Harvard University,N/A,Harvard University,N/A,No,Minnesota,N/A,Federal judge for the Court of Appeals for the Eighth Circuit,U.S. Court of Appeals judge,Minnesota,Richard Milhous Nixon,Republican,Advanced age,85,1999
"Powell, Lewis Franklin, Jr.",Associate Justice,1972-1987,,1907,64,Virginia,Presbyterian,White,Male,Washington and Lee University,Harvard University,Washington And Lee University,N/A,No,Virginia,N/A,,Law firm,Virginia,Richard Milhous Nixon,Republican,Advanced age,79,1998
"Rehnquist, William Hubbs",Associate Justice; Chief Justice,1972-2005,,1924,47,Wisconsin,Lutheran,White,Male,Stanford University,Harvard University,Stanford University,N/A,"Yes, Robert Jackson (1952-53)",Arizona,N/A,,U.S. Assistant Attorney General,Arizona,Richard Milhous Nixon,Republican,Death,61,2005
"Stevens, John Paul",Associate Justice,1975-2010,,1920,55,Illinois,Protestant,White,Male,University of Chicago,N/A,Northwestern University,N/A,"Yes, Wiley Rutledge (1947-48)",Illinois,N/A,Federal judge for the Court of Appeals for the Seventh Circuit,U.S. Court of Appeals judge,Illinois,Gerald Rudolph Ford,Republican,Advanced age,90,2019
"O'Connor, Sandra Day",Associate Justice,1981-2006,,1930,51,Texas,Episcopalian,White,Female,Stanford University,N/A,Stanford University,N/A,No,"California, Arizona",State trial court judge and state intermediate appellate court judge in Arizona,,State appellate court judge,Arizona,Ronald Wilson Reagan,Republican,Advanced age,75,Still alive
"Scalia, Antonin",Associate Justice,1986-2016,,1936,50,New Jersey,Roman Catholic,White,Male,Georgetown University,Fribourg (Switzerland),Harvard University,N/A,No,"Ohio, Virginia",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,Virginia,Ronald Wilson Reagan,Republican,Death,79,2016
"Bork, Robert H.",Not confirmed by the Senate,N/A,,1927,60,Pennsylvania,Presbyterian,White,Male,University of Chicago,N/A,University of Chicago,N/A,No,"Illinois, Washington, D.C.",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,"Washington, D.C.",Ronald Wilson Reagan,Republican,N/A,N/A,2012
"Kennedy, Anthony McLeod",Associate Justice,1988-2018,,1936,51,California,Roman Catholic,White,Male,Stanford University,N/A,Harvard University,N/A,No,California,N/A,Federal judge for the Court of Appeals for the Ninth Circuit,U.S. Court of Appeals judge,California,Ronald Wilson Reagan,Republican,Advanced age,82,Still alive
"Souter, David H.",Associate Justice,1990-2009,,1939,50,Massachusetts,Episcopalian,White,Male,Harvard University,Oxford University,Harvard University,N/A,No,New Hampshire,State trial court judge and justice on state's highest court in New Hampshire,Federal judge for the Court of Appeals for the First Circuit,U.S. Court of Appeals judge,New Hampshire,George Herbert Walker Bush,Republican,Other,69,Still alive
"Thomas, Clarence",Associate Justice,1991-present,,1948,43,Georgia,Roman Catholic,Black,Male,College of Holy Cross,N/A,Yale University,N/A,No,Missouri,N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,Georgia,George Herbert Walker Bush,Republican,Still on the court,Still on the court,Still alive
"Ginsburg, Ruth Bader",Associate Justice,1993-2020,,1933,60,New York,Jewish,White,Female,Cornell University,N/A,Columbia University,N/A,No,"New York, Washington, D.C.",N/A,Federal judge for the Court of Appeals for the District of Columbia,U.S. Court of Appeals judge,New York,William Jefferson Clinton,Democrat,Death,87,2020
