Full Name,Position ,Years of Service as a justice,Recess Appointment?,Appointing President,Political Party Affiliation of President,Year of Birth,Age When Appointed,Birth location, Home State of Nominee,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's Occupation at Time of Appointment,Served as a state trial judge,Served as a state appellate judge,Served as a justice on the state's highest court,Served as a federal district court judge,Served as a federal appellate judge,Served as an Assistant U.S. Attorney?,Served as a U.S. Attorney?,Served in the Office of the U.S. Solicitor General (but not as SG)?,Served as the U.S. Solicitor General?,Served in the Office of the U.S. Attorney General (but not as AG)?,Served as the U.S. Attorney General?,Served in a U.S. Cabinet (below Secretary level)?,Served at the Secretary level in a U.S. Cabinet?,"Served in a Executive Commission, Agency, or White House Post (at a level below Head)?",Served as Head of an Executive Commission or Agency?,Served as U.S. President,Served in the U.S. House of Representatives,Served in the U.S. Senate,Served as Lt. Governor,Served as Governor,Served as Mayor, Served in a State Senate, Served in a State House, Served on a City Council,Served as a Public Defender,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Stanbery, Henry",Not confirmed by the Senate,N/A,,Andrew Johnson,Democrat,1803,63,New York,Ohio,Presbyterian,White,Male,Washington and Jefferson College,N/A,No Formal Law School Education/Read law,Ohio,No,Ohio,Solo practice,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1881
"Hoar, Ebenezer R.",Not confirmed by the Senate,N/A,,Ulysses Simpson Grant,Republican,1816,53,Massachusetts,Massachusetts,Unitarian,White,Male,Harvard University,N/A,Harvard University,Massachusetts,No,Massachusetts,U.S. Attorney General,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,N/A,N/A,1895
"Stanton, Edwin M.",Confirmed but did not serve,N/A,,Ulysses Simpson Grant,Republican,1814,54,Ohio,Pennsylvania,Unknown,White,Male,Kenyon College,N/A,No Formal Law School Education/Read law,Ohio,No,Ohio,Solo practice,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1869
"Strong, William",Associate Justice,1870-1880,,Ulysses Simpson Grant,Republican,1808,61,Connecticut,Pennsylvania,Presbyterian,White,Male,Yale University,Yale University,Yale University,New Jersey,No,Pennsylvania,Solo practice,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Other,72,1895
"Bradley, Joseph P.",Associate Justice,1870-1892,,Ulysses Simpson Grant,Republican,1813,57,New York,New Jersey,Dutch Reform,White,Male,Rutgers,N/A,No Formal Law School Education/Read law,New Jersey,No,New Jersey,Small partnership,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,78,1892
"Hunt, Ward",Associate Justice,1873-1882,,Ulysses Simpson Grant,Republican,1810,62,New York,New York,Episcopalian,White,Male,Union College,N/A,Litchfield (Tapping Reeve) Law School,New York,No,New York,State highest court justice,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Declining health,71,1886
"Williams, George H.",Nomination withdrawn,N/A,,Ulysses Simpson Grant,Republican,1823,50,New York,Oregon,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,New York,No,"New York, Iowa, Oregon",U.S. Attorney General,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,N/A,N/A,1910
"Cushing, Caleb",Nomination withdrawn,N/A,,Ulysses Simpson Grant,Republican,1800,73,Massachusetts,Massachusetts,Protestant,White,Male,Harvard University,N/A,Harvard University,Massachusetts,No,Massachusetts,Minister to Spain,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,N/A,N/A,1879
"Waite, Morrison Remick",Chief Justice,1874-1888,,Ulysses Simpson Grant,Republican,1816,57,Connecticut,Ohio,Episcopalian,White,Male,Yale University,N/A,No Formal Law School Education/Read law,Ohio,No,Ohio,Small partnership,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Death,71,1888
"Harlan, John Marshall (I)",Associate Justice,1877-1911,,Rutherford Birchard Hayes,Republican,1833,44,Kentucky,Kentucky,Presbyterian,White,Male,Centre College,N/A,Transylvania,Kentucky,No,Kentucky,Small partnership,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Death,78,1911
"Woods, William Burnham",Associate Justice,1881-1887,,Rutherford Birchard Hayes,Republican,1824,56,Ohio,Georgia,Protestant,White,Male,Yale University,N/A,No Formal Law School Education/Read law,Ohio,No,Ohio,U.S. Court of Appeals judge,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Death,62,1887
"Matthews, Stanley",Associate Justice,1881-1889,,James Abram Garfield,Republican,1824,56,Ohio,Ohio,Presbyterian,White,Male,Kenyon College,N/A,No Formal Law School Education/Read law,Ohio,No,"Tennessee, Ohio",Solo practice,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Death,64,1889
"Gray, Horace",Associate Justice,1882-1902,,Chester Alan Arthur,Republican,1828,53,Massachusetts,Massachusetts,Unitarian,White,Male,Harvard University,N/A,Harvard University,Massachusetts,No,Massachusetts,State highest court justice,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,74,1902
"Conkling, Roscoe",Confirmed but did not serve,N/A,,Chester Alan Arthur,Republican,1829,52,New York,New York,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,New York,No,New York,Solo practice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,N/A,N/A,1888
"Blatchford, Samuel",Associate Justice,1882-1893,,Chester Alan Arthur,Republican,1820,62,New York,New York,Episcopalian,White,Male,Columbia University,N/A,No Formal Law School Education/Read law,New York,No,New York,U.S. Court of Appeals judge,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,73,1893
"Lamar, Lucius Quintus Cincinnatus",Associate Justice,1888-1893,,Grover Cleveland,Democrat,1825,62,Georgia,Mississippi,Methodist,White,Male,Emory University,N/A,No Formal Law School Education/Read law,Georgia,No,Georgia,Secretary of the Interior,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Death,67,1893
"Fuller, Melville Weston",Chief Justice,1888-1910,,Grover Cleveland,Democrat,1833,55,Maine,Illinois,Episcopalian,White,Male,Bowdoin College,N/A,Harvard University,Maine,No,"Maine, Illinois",Solo practice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Death,77,1910
"Brewer, David Josiah",Associate Justice,1890-1910,,Benjamin Harrison,Republican,1837,52,Turkey,Kansas,Congregationalist,White,Male,Yale University,N/A,Read law and attended Albany Law School,New York,No,"New York, Kansas",U.S. Court of Appeals judge,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,72,1910
"Brown, Henry Billings",Associate Justice,1891-1906,,Benjamin Harrison,Republican,1836,54,Massachusetts,Michigan,Congregationalist,White,Male,Yale University,N/A,Harvard University,Michigan,No,Michigan,U.S. Court of Appeals judge,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Declining health,70,1913
"Shiras, George, Jr.",Associate Justice,1892-1903,,Benjamin Harrison,Republican,1832,60,Pennsylvania,Pennsylvania,Presbyterian,White,Male,Yale University,N/A,Yale University,Pennsylvania,No,Pennsylvania,Solo practice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Spent more time with family,71,1924
"Jackson, Howell Edmunds",Associate Justice,1893-1895,,Benjamin Harrison,Republican,1832,60,Tennessee,Tennessee,Baptist,White,Male,University of Virginia,N/A,Cumberland University,Tennessee,No,Tennessee,U.S. Court of Appeals judge,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Death,63,1895
"Hornblower, William B.",Nominations unsuccessful,N/A,,Grover Cleveland,Democrat,1851,42,New Jersey,New York,Presbyterian,White,Male,Princeton University,N/A,Columbia University,N/A,No,New York,Law firm,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1914
